"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2025","1,404.94","1,397.08","1,421.17","1,397.08","","0.62%"
"12/29/2024","1,396.23","1,381.69","1,402.18","1,379.58","","1.03%"
"12/22/2024","1,381.93","1,368.10","1,389.23","1,366.75","","1.00%"
"12/15/2024","1,368.21","1,379.22","1,384.07","1,360.40","","-0.86%"
"12/08/2024","1,380.07","1,377.29","1,389.61","1,377.29","","0.22%"
"12/01/2024","1,377.04","1,393.62","1,402.76","1,377.04","","-1.08%"
"11/24/2024","1,392.13","1,395.48","1,403.73","1,391.00","","0.01%"
"11/17/2024","1,391.95","1,347.37","1,398.28","1,344.95","","3.41%"
"11/10/2024","1,346.11","1,338.68","1,353.65","1,327.85","","0.81%"
"11/03/2024","1,335.33","1,353.52","1,365.33","1,335.33","","-1.29%"
"10/27/2024","1,352.80","1,333.16","1,366.53","1,332.24","","1.37%"
"10/20/2024","1,334.49","1,362.00","1,365.38","1,316.22","","-2.02%"
"10/13/2024","1,362.07","1,326.98","1,362.07","1,319.51","","2.68%"
"10/06/2024","1,326.48","1,303.47","1,326.48","1,296.43","","1.73%"
"09/29/2024","1,303.86","1,320.90","1,320.90","1,294.74","","-1.28%"
"09/22/2024","1,320.81","1,321.20","1,334.90","1,314.18","","0.00%"
"09/15/2024","1,320.84","1,312.55","1,321.34","1,303.74","","0.70%"
"09/08/2024","1,311.68","1,328.57","1,332.80","1,308.02","","-1.26%"
"09/01/2024","1,328.47","1,361.95","1,361.95","1,326.94","","-2.48%"
"08/25/2024","1,362.28","1,333.07","1,347.61","1,330.71","","2.35%"
"08/18/2024","1,331.01","1,362.85","1,362.85","1,330.88","","-2.20%"
"08/11/2024","1,361.01","1,307.78","1,361.67","1,307.78","","3.86%"
"08/04/2024","1,310.45","1,308.16","1,313.24","1,272.05","","-0.49%"
"07/28/2024","1,316.87","1,345.28","1,348.90","1,317.26","","-2.14%"
"07/21/2024","1,345.63","1,367.69","1,369.07","1,344.10","","-1.61%"
"07/14/2024","1,367.69","1,374.98","1,378.26","1,360.65","","-0.46%"
"07/07/2024","1,374.06","1,384.49","1,385.21","1,356.63","","-0.69%"
"06/30/2024","1,383.57","1,381.32","1,390.05","1,377.70","","0.19%"
"06/23/2024","1,380.90","1,365.34","1,383.87","1,363.70","","1.14%"
"06/16/2024","1,365.34","1,378.09","1,393.65","1,365.66","","-0.93%"
"06/09/2024","1,378.09","1,407.99","1,408.56","1,377.15","","-2.40%"
"06/02/2024","1,411.99","1,399.94","1,416.87","1,396.26","","0.86%"
"05/26/2024","1,399.94","1,407.76","1,417.49","1,392.30","","-0.56%"
"05/19/2024","1,407.76","1,430.22","1,451.31","1,399.70","","-1.50%"
"05/12/2024","1,429.18","1,392.69","1,428.61","1,389.80","","2.79%"
"05/05/2024","1,390.38","1,384.54","1,394.87","1,374.53","","0.35%"
"04/28/2024","1,385.56","1,367.40","1,384.36","1,356.01","","1.39%"
"04/21/2024","1,366.61","1,332.27","1,373.37","1,331.77","","2.59%"
"04/14/2024","1,332.13","1,392.95","1,393.89","1,323.61","","-4.21%"
"04/07/2024","1,390.74","1,388.27","1,426.23","1,384.61","","0.18%"
"03/31/2024","1,388.27","1,337.49","1,405.09","1,336.40","","4.15%"
"03/24/2024","1,332.98","1,325.75","1,334.52","1,317.23","","0.26%"
"03/17/2024","1,329.48","1,282.00","1,322.80","1,278.36","","3.45%"
"03/10/2024","1,285.10","1,303.06","1,303.06","1,277.62","","-1.07%"
"03/03/2024","1,298.97","1,284.01","1,316.38","1,280.49","","0.97%"
"02/25/2024","1,286.46","1,290.42","1,297.00","1,268.18","","-0.30%"
"02/18/2024","1,290.31","1,238.79","1,290.88","1,215.46","","2.65%"
"02/11/2024","1,256.97","1,248.23","1,256.97","1,233.60","","0.70%"
"02/04/2024","1,248.23","1,277.17","1,281.21","1,248.23","","-2.31%"
"01/28/2024","1,277.77","1,277.90","1,290.76","1,274.11","","-0.36%"
"01/21/2024","1,282.43","1,268.30","1,284.39","1,257.01","","0.62%"
"01/14/2024","1,274.50","1,287.18","1,300.82","1,262.60","","-1.27%"
"01/07/2024","1,290.92","1,288.07","1,302.55","1,276.10","","-0.30%"
"12/31/2023","1,294.78","1,195.20","1,294.95","1,194.60","","8.33%"
"12/24/2023","1,195.20","1,171.18","1,195.20","1,169.11","","2.12%"
"12/17/2023","1,170.34","1,165.44","1,179.11","1,158.45","","0.67%"
"12/10/2023","1,162.58","1,148.95","1,181.06","1,139.64","","1.51%"
"12/03/2023","1,145.28","1,151.24","1,158.56","1,129.11","","-0.57%"
"11/26/2023","1,151.79","1,123.91","1,151.79","1,123.91","","1.44%"
"11/19/2023","1,135.46","1,127.25","1,136.73","1,116.89","","0.91%"
"11/12/2023","1,125.22","1,105.78","1,127.76","1,103.89","","2.02%"
"11/05/2023","1,102.93","1,096.32","1,109.37","1,086.12","","0.38%"
"10/29/2023","1,098.75","1,096.52","1,105.33","1,085.34","","0.45%"
"10/22/2023","1,093.84","1,117.01","1,117.01","1,083.95","","-2.11%"
"10/15/2023","1,117.42","1,117.10","1,143.05","1,117.10","","0.10%"
"10/08/2023","1,116.29","1,108.22","1,119.39","1,104.87","","1.30%"
"10/01/2023","1,101.97","1,121.82","1,127.25","1,091.17","","-1.75%"
"09/24/2023","1,121.64","1,094.91","1,124.61","1,082.10","","2.85%"
"09/17/2023","1,090.53","1,102.48","1,115.43","1,081.90","","-0.74%"
"09/10/2023","1,098.66","1,069.38","1,098.67","1,062.67","","2.76%"
"09/03/2023","1,069.14","1,086.25","1,088.17","1,044.56","","-1.44%"
"08/27/2023","1,084.71","1,104.17","1,120.45","1,076.12","","-1.54%"
"08/20/2023","1,101.64","1,132.33","1,135.96","1,097.22","","-2.74%"
"08/13/2023","1,132.66","1,144.48","1,149.00","1,129.45","","-1.29%"
"08/06/2023","1,147.50","1,170.00","1,174.76","1,142.38","","-1.94%"
"07/30/2023","1,170.23","1,161.91","1,182.34","1,160.77","","0.72%"
"07/23/2023","1,161.83","1,174.12","1,182.50","1,151.56","","-0.94%"
"07/16/2023","1,172.85","1,164.23","1,180.24","1,157.81","","0.74%"
"07/09/2023","1,164.20","1,125.60","1,175.39","1,121.86","","2.74%"
"07/02/2023","1,133.11","1,124.35","1,139.15","1,110.71","","-0.04%"
"06/25/2023","1,133.60","1,133.54","1,139.17","1,118.40","","0.01%"
"06/18/2023","1,133.54","1,172.10","1,172.10","1,133.20","","-3.44%"
"06/11/2023","1,173.90","1,182.18","1,199.71","1,173.90","","-0.85%"
"06/04/2023","1,183.97","1,151.53","1,201.77","1,146.17","","3.14%"
"05/28/2023","1,147.97","1,100.94","1,148.23","1,085.14","","4.27%"
"05/21/2023","1,100.97","1,124.47","1,134.07","1,091.36","","-2.04%"
"05/14/2023","1,123.90","1,159.36","1,163.17","1,120.31","","-3.04%"
"05/07/2023","1,159.12","1,166.62","1,169.30","1,141.19","","-0.43%"
"04/30/2023","1,164.18","1,194.34","1,194.34","1,149.62","","-2.89%"
"04/23/2023","1,198.81","1,216.10","1,226.66","1,153.65","","-1.41%"
"04/16/2023","1,215.94","1,253.77","1,264.18","1,211.74","","-2.98%"
"04/09/2023","1,253.29","1,193.75","1,253.29","1,187.93","","5.00%"
"04/02/2023","1,193.57","1,168.31","1,193.57","1,163.39","","3.11%"
"03/26/2023","1,157.59","1,108.11","1,161.50","1,104.95","","4.64%"
"03/19/2023","1,106.24","1,110.72","1,139.33","1,084.58","","-0.37%"
"03/12/2023","1,110.39","1,186.06","1,186.06","1,104.46","","-6.48%"
"03/05/2023","1,187.27","1,215.69","1,244.96","1,186.80","","-2.25%"
"02/26/2023","1,214.55","1,194.22","1,219.37","1,187.06","","1.76%"
"02/19/2023","1,193.54","1,209.28","1,215.86","1,182.80","","-1.35%"
"02/12/2023","1,209.86","1,242.15","1,248.75","1,197.02","","-2.87%"
"02/05/2023","1,245.65","1,263.50","1,279.35","1,237.07","","-1.39%"
"01/29/2023","1,263.25","1,285.32","1,291.85","1,248.87","","-1.76%"
"01/22/2023","1,285.89","1,341.55","1,342.70","1,273.57","","-3.85%"
"01/15/2023","1,337.40","1,336.95","1,347.58","1,325.55","","0.00%"
"01/08/2023","1,337.44","1,328.69","1,345.36","1,326.02","","0.81%"
"01/01/2023","1,326.74","1,290.95","1,334.71","1,266.31","","3.16%"
"12/25/2022","1,286.07","1,249.62","1,290.11","1,244.12","","2.67%"
"12/18/2022","1,252.68","1,213.79","1,252.68","1,207.60","","3.39%"
"12/11/2022","1,211.59","1,235.66","1,239.05","1,210.76","","-1.99%"
"12/04/2022","1,236.18","1,243.12","1,244.45","1,214.43","","-0.38%"
"11/27/2022","1,240.93","1,264.19","1,264.19","1,230.69","","-2.00%"
"11/20/2022","1,266.25","1,275.40","1,275.87","1,225.08","","-1.28%"
"11/13/2022","1,282.68","1,275.71","1,295.81","1,263.72","","1.27%"
"11/06/2022","1,266.56","1,245.44","1,278.26","1,228.16","","1.79%"
"10/30/2022","1,244.24","1,216.93","1,262.12","1,213.61","","2.01%"
"10/23/2022","1,219.69","1,228.23","1,237.93","1,188.24","","-0.97%"
"10/16/2022","1,231.64","1,171.11","1,259.57","1,171.11","","5.42%"
"10/09/2022","1,168.32","1,209.97","1,209.97","1,165.60","","-3.37%"
"10/02/2022","1,209.10","1,132.29","1,224.06","1,131.75","","7.17%"
"09/25/2022","1,128.24","1,158.54","1,161.71","1,108.05","","-2.51%"
"09/18/2022","1,157.27","1,199.07","1,239.52","1,157.27","","-4.32%"
"09/11/2022","1,209.58","1,224.59","1,240.73","1,189.42","","-1.06%"
"09/04/2022","1,222.51","1,232.91","1,241.86","1,190.95","","-0.84%"
"08/28/2022","1,232.91","1,297.96","1,299.82","1,214.71","","-5.08%"
"08/21/2022","1,298.84","1,306.03","1,312.13","1,286.80","","-0.68%"
"08/14/2022","1,307.78","1,326.37","1,343.04","1,304.74","","-1.73%"
"08/07/2022","1,330.82","1,296.51","1,341.83","1,296.51","","2.36%"
"07/31/2022","1,300.09","1,289.06","1,300.09","1,262.92","","0.32%"
"07/24/2022","1,295.96","1,256.95","1,324.69","1,256.95","","2.87%"
"07/17/2022","1,259.80","1,269.80","1,304.85","1,259.80","","-1.13%"
"07/10/2022","1,274.19","1,354.92","1,360.73","1,251.69","","-5.96%"
"07/03/2022","1,354.92","1,357.98","1,357.98","1,316.50","","-0.23%"
"06/26/2022","1,357.98","1,373.84","1,389.81","1,322.88","","-0.58%"
"06/19/2022","1,365.96","1,402.13","1,402.25","1,328.73","","-6.06%"
"06/12/2022","1,454.02","1,530.29","1,536.57","1,450.69","","-5.01%"
